,Glucose,Ethanol,Acetate,Maltose
YMR229C,0.05152,0.01656,0.01332,0.01867
YMR230W,0.18358,0.06517,0.06455,0.11236
YMR231W,0.00459,0.00140,0.00135,0.00140
YMR191W,0.11838,0.06456,0.05136,0.05512
YMR192W,0.00121,0.00067,0.00093,0.00032
YMR193W,0.05699,0.01826,0.01864,0.02169
YMR193C-A,0.00066,0.00050,0.00080,0.00092
YMR194W,0.55251,0.18800,0.18423,0.37755
YMR195W,0.03777,0.02699,0.02042,0.01234
YMR196W,0.07133,0.01741,0.01097,0.03286
YMR197C,0.09763,0.02422,0.02130,0.03697
YMR198W,0.00797,0.00280,0.00294,0.00277
YMR199W,0.04639,0.01493,0.01134,0.01991
YMR200W,0.08633,0.02320,0.01931,0.04257
YMR201C,0.00648,0.00188,0.00171,0.00201
YMR202W,0.55774,0.19742,0.16151,0.36130
YMR203W,0.04698,0.01587,0.01375,0.01884
YMR204C,0.01011,0.00353,0.00317,0.00315
YMR205C,0.24273,0.07327,0.05461,0.12724
YMR206W,0.09422,0.04728,0.02707,0.05136
YMR207C,0.00813,0.00342,0.00293,0.00214
YMR208W,0.02465,0.00760,0.00588,0.00768
YMR209C,0.00878,0.00409,0.00383,0.00252
YMR210W,0.03716,0.01431,0.01127,0.01393
YMR211W,0.01000,0.00309,0.00292,0.00392
YMR171C,0.00431,0.00202,0.00170,0.00170
YMR172W,0.01128,0.00393,0.00326,0.00414
YMR172C-A,0.00205,0.00214,0.00265,0.00152
YMR173W,0.22196,0.05921,0.04093,0.14153
YMR173W-A,0.41107,0.28395,0.20193,0.28053
YMR174C,0.09163,0.01941,0.01279,0.05989
YMR175W,0.25723,0.02370,0.02220,0.18443
YMR176W,0.01001,0.00518,0.00421,0.00362
YMR177W,0.00634,0.00284,0.00290,0.00342
YMR178W,0.00569,0.00149,0.00197,0.00220
YMR179W,0.00750,0.00190,0.00246,0.00267
YMR180C,0.03160,0.00763,0.00699,0.01253
YMR181C,0.02958,0.00771,0.00620,0.01219
YMR182C,0.00511,0.00257,0.00215,0.00298
YMR183C,0.02050,0.00746,0.00495,0.00809
YMR184W,0.07932,0.02640,0.02218,0.03238
YMR185W,0.01100,0.00599,0.00618,0.00324
YMR186W,0.42439,0.22733,0.18695,0.33966
YMR187C,0.02091,0.00977,0.00897,0.00690
YMR188C,0.04655,0.01609,0.01624,0.01716
YMR189W,0.07876,0.06619,0.05235,0.03142
YMR190C,0.01013,0.00391,0.00335,0.00318
YMR152W,0.01849,0.00746,0.00536,0.00738
YMR153W,0.02260,0.00628,0.00574,0.00855
YMR153C-A,0.00320,0.00105,0.00108,0.00141
YMR154C,0.00438,0.00113,0.00098,0.00154
YMR155W,0.01226,0.00357,0.00377,0.00411
YMR156C,0.01077,0.00475,0.00385,0.00368
YMR157C,0.06923,0.02029,0.02026,0.02717
YMR158W,0.03072,0.01053,0.00941,0.01058
YMR158W-A,0.00016,0.00006,0.00005,0.00005
YMR159C,0.00083,0.00025,0.00003,0.00043
YMR160W,0.04379,0.02033,0.01479,0.01477
YMR161W,0.04445,0.00836,0.00904,0.02273
YMR162C,0.01239,0.00327,0.00324,0.00313
YMR163C,0.00633,0.00251,0.00271,0.00205
YMR164C,0.01496,0.00327,0.00368,0.00449
YMR165C,0.01648,0.00820,0.00535,0.00870
YMR166C,0.02834,0.00958,0.00681,0.00683
YMR167W,0.00286,0.00042,0.00100,0.00075
YMR168C,0.00441,0.00107,0.00159,0.00143
YMR169C,0.03698,0.00721,0.00612,0.02672
YMR170C,0.00948,0.00316,0.00252,0.00452
YMR131C,0.03212,0.00921,0.00942,0.01107
YMR132C,0.00706,0.00386,0.00279,0.00202
YMR133W,0.00019,0.00028,0.00027,0.00006
YMR134W,0.01052,0.00556,0.00447,0.00378
YMR135C,0.04655,0.01987,0.01599,0.01748
YMR135W-A,0.00150,0.00018,0.00024,0.00055
YMR136W,0.06307,0.02862,0.01569,0.02134
YMR137C,0.00190,0.00115,0.00111,0.00088
YMR138W,0.01835,0.00876,0.00880,0.00914
YMR139W,0.03629,0.01393,0.01008,0.01645
YMR140W,0.00854,0.00237,0.00144,0.00591
YMR141C,0.00214,0.00220,0.00188,0.00186
YMR142C,0.36257,0.08156,0.07608,0.17115
YMR143W,0.15905,0.05695,0.05802,0.08159
YMR144W,0.01326,0.00401,0.00358,0.00440
YMR145C,0.33874,0.17420,0.17323,0.19816
YMR146C,0.12861,0.03994,0.03293,0.04999
YMR147W,0.00698,0.00246,0.00251,0.00477
YMR148W,0.11869,0.04372,0.03303,0.05098
YMR149W,0.12319,0.04937,0.04389,0.06418
YMR150C,0.06251,0.02396,0.02357,0.02562
YMR151W,0.00145,0.00064,0.00054,0.00050
YMR111C,0.01605,0.00561,0.00352,0.00512
YMR112C,0.04621,0.02147,0.01772,0.01884
YMR113W,0.02554,0.01021,0.00919,0.01076
YMR114C,0.00922,0.00410,0.00306,0.00475
YMR115W,0.02401,0.00815,0.00590,0.00718
YMR116C,0.74264,0.27085,0.25693,0.49829
YMR117C,0.00137,0.00033,0.00013,0.00030
YMR118C,0.08766,0.01383,0.02095,0.05947
YMR119W,0.03670,0.01713,0.01435,0.01605
YMR119W-A,0.01489,0.00799,0.00740,0.00452
YMR120C,0.17410,0.05928,0.05172,0.08575
YMR121C,0.19500,0.07908,0.06005,0.14602
YMR122C,0.00317,0.00190,0.00121,0.00145
YMR123W,0.14745,0.07727,0.06360,0.05939
YMR124W,0.00542,0.00187,0.00200,0.00166
YMR125W,0.02242,0.00739,0.00703,0.00739
YMR126C,0.01197,0.00505,0.00499,0.00405
YMR127C,0.00981,0.00461,0.00482,0.00382
YMR128W,0.01951,0.00564,0.00622,0.00605
YMR129W,0.05283,0.02192,0.01739,0.01638
YMR130W,0.01140,0.00348,0.00376,0.00378
YMR088C,0.02763,0.01678,0.01631,0.01026
YMR089C,0.06584,0.02381,0.01946,0.03128
YMR090W,0.02434,0.00453,0.00295,0.01252
YMR091C,0.02760,0.01068,0.00876,0.00872
YMR092C,0.11333,0.03482,0.03138,0.04575
YMR093W,0.01745,0.00458,0.00611,0.00564
YMR094W,0.00160,0.00137,0.00089,0.00152
YMR095C,0.01343,0.01175,0.00413,0.00866
YMR096W,0.03828,0.02092,0.00680,0.02330
YMR097C,0.01517,0.00514,0.00426,0.00630
YMR098C,0.01164,0.00457,0.00378,0.00374
YMR099C,0.08418,0.02410,0.02548,0.03487
YMR100W,0.01986,0.01062,0.00860,0.00920
YMR101C,0.00154,0.00072,0.00092,0.00066
YMR102C,0.01265,0.00479,0.00365,0.00526
YMR103C,0.08306,0.02399,0.02060,0.02975
YMR104C,0.01789,0.00256,0.00253,0.00525
YMR105C,0.08776,0.03646,0.02034,0.04254
YMR106C,0.00493,0.00190,0.00164,0.00188
YMR107W,0.70662,0.31010,0.20939,0.41912
YMR108W,0.14814,0.06487,0.04893,0.08181
YMR109W,0.02475,0.00738,0.00344,0.00695
YMR110C,0.31369,0.11289,0.09754,0.14715
YMR068W,0.00929,0.00401,0.00224,0.00324
YMR069W,0.00292,0.00103,0.00081,0.00077
YMR070W,0.00696,0.00246,0.00228,0.00127
YMR071C,0.09842,0.04453,0.03888,0.04078
YMR072W,0.15334,0.05695,0.04463,0.07346
YMR073C,0.08432,0.01991,0.01828,0.02381
YMR074C,0.08545,0.03426,0.03764,0.03226
YMR075W,0.00700,0.00235,0.00322,0.00276
YMR075C-A,0.00264,0.00146,0.00195,0.00145
YMR076C,0.02603,0.00757,0.00667,0.00839
YMR077C,0.02526,0.00740,0.00657,0.00966
YMR078C,0.00747,0.00295,0.00245,0.00248
YMR079W,0.06196,0.01808,0.01373,0.02988
