,Glucose,Ethanol,Acetate,Maltose
YLR331C,0.00027,0.00054,0.00035,0.00045
YLR332W,0.02973,0.01108,0.01222,0.01151
YLR333C,0.29195,0.12707,0.12162,0.16634
YLR334C,0.00054,0.00024,0.00017,0.00001
YLR335W,0.02567,0.00987,0.00885,0.01097
YLR336C,0.00923,0.00336,0.00414,0.00749
YLR337C,0.01590,0.01846,0.00851,0.00725
YLR338W,0.00036,0.00019,0.00011,0.00015
YLR339C,0.00237,0.00250,0.00274,0.00088
YLR295C,0.33944,0.12970,0.13021,0.14798
YLR296W,0.00400,0.00144,0.00169,0.00129
YLR297W,0.03227,0.01433,0.00922,0.01129
YLR298C,0.02054,0.00569,0.00487,0.00655
YLR299W,0.04136,0.01545,0.00849,0.01739
YLR300W,0.14532,0.03734,0.03281,0.05693
YLR301W,0.05361,0.01520,0.01463,0.02066
YLR302C,0.00030,0.00011,0.00004,0.00011
YLR303W,0.71659,0.42578,0.36067,0.55056
YLR304C,0.33397,0.16325,0.19366,0.15740
YLR305C,0.01758,0.00754,0.00581,0.00502
YLR306W,0.00942,0.00220,0.00309,0.00333
YLR307W,0.00714,0.00316,0.00440,0.00185
YLR308W,0.00243,0.01527,0.00333,0.00026
YLR309C,0.02386,0.01180,0.01163,0.00824
YLR310C,0.00768,0.00229,0.00276,0.00217
YLR311C,0.01493,0.00954,0.00702,0.00616
YLR312C,0.07791,0.04294,0.03163,0.03903
YLR313C,0.01389,0.00263,0.00190,0.00454
YLR314C,0.01355,0.00385,0.00365,0.00310
YLR315W,0.00588,0.00132,0.00082,0.00225
YLR316C,0.02067,0.00642,0.00654,0.00992
YLR274W,0.01900,0.00708,0.00579,0.00769
YLR275W,0.00701,0.00238,0.00204,0.00316
YLR276C,0.04414,0.01158,0.01306,0.01545
YLR277C,0.01867,0.00777,0.00689,0.00518
YLR278C,0.00829,0.00452,0.00322,0.00274
YLR279W,0.00626,0.00599,0.00490,0.00368
YLR280C,0.06704,0.05811,0.04946,0.04381
YLR281C,0.02474,0.01025,0.00471,0.01243
YLR282C,0.00197,0.00081,0.00086,0.00132
YLR283W,0.00589,0.00247,0.00237,0.00210
YLR284C,0.10616,0.05049,0.03431,0.05265
YLR285W,0.02205,0.00583,0.00514,0.00706
YLR286C,0.35592,0.11794,0.09155,0.19073
YLR287C,0.00404,0.00142,0.00112,0.00176
YLR287C-A,0.65145,0.40154,0.33852,0.53290
YLR288C,0.01639,0.00552,0.00443,0.00679
YLR289W,0.01145,0.00510,0.00366,0.00496
YLR290C,0.08273,0.02733,0.02677,0.03971
YLR291C,0.02451,0.01020,0.00878,0.01005
YLR292C,0.04880,0.01429,0.01454,0.01999
YLR293C,0.16269,0.05984,0.05042,0.05713
YLR294C,0.38270,0.20712,0.19690,0.21218
YLR253W,0.03633,0.01243,0.01042,0.01439
YLR254C,0.07599,0.02678,0.01903,0.04095
YLR255C,0.00126,0.00048,0.00062,0.00047
YLR256W,0.02448,0.00759,0.00597,0.01153
YLR257W,0.09840,0.01671,0.01289,0.05451
YLR258W,0.06325,0.01659,0.00933,0.03769
YLR259C,0.46082,0.23653,0.19828,0.23926
YLR260W,0.02247,0.00662,0.00618,0.00889
YLR261C,0.02238,0.00772,0.00860,0.00846
YLR262C,0.00636,0.00162,0.00153,0.00253
YLR262C-A,0.06309,0.02160,0.01960,0.02205
YLR263W,0.00426,0.00182,0.00157,0.00092
YLR264W,0.41796,0.09380,0.09680,0.19407
YLR265C,0.00892,0.00173,0.00149,0.00240
YLR266C,0.00679,0.00205,0.00317,0.00163
YLR267W,0.00410,0.00318,0.00238,0.00115
YLR268W,0.01351,0.00558,0.00546,0.00422
YLR269C,0.00054,0.00032,0.00052,0.00055
YLR270W,0.03547,0.00933,0.00649,0.01507
YLR271W,0.00527,0.00164,0.00149,0.00252
YLR272C,0.00809,0.00304,0.00313,0.00268
YLR273C,0.01616,0.00803,0.00588,0.00765
YLR232W,0.00084,0.00079,0.00059,0.00050
YLR233C,0.00363,0.00210,0.00139,0.00132
YLR234W,0.00256,0.00040,0.00047,0.00065
YLR235C,0.00079,0.00067,0.00052,0.00061
YLR236C,0.00306,0.00096,0.00088,0.00215
YLR237W,0.07935,0.03136,0.02543,0.04572
YLR238W,0.01186,0.00384,0.00426,0.00329
YLR239C,0.01697,0.00656,0.00550,0.00601
YLR240W,0.01909,0.00748,0.00522,0.00683
YLR241W,0.03824,0.01218,0.00842,0.01292
YLR242C,0.00442,0.00232,0.00199,0.00174
YLR243W,0.05167,0.01072,0.01163,0.02243
YLR244C,0.01869,0.00660,0.00601,0.00812
YLR245C,0.01015,0.00349,0.00279,0.00460
YLR246W,0.01426,0.00531,0.00496,0.00588
YLR247C,0.01908,0.00750,0.00645,0.00645
YLR248W,0.10677,0.04419,0.03464,0.05581
YLR249W,0.67483,0.29509,0.26034,0.40047
YLR250W,0.01250,0.00541,0.00479,0.00420
YLR251W,0.03054,0.00794,0.00699,0.01950
YLR252W,0.03769,0.01676,0.01276,0.02015
YLR209C,0.03204,0.01168,0.01045,0.01236
YLR210W,0.01584,0.00695,0.00591,0.00588
YLR211C,0.01852,0.00576,0.00466,0.00835
YLR212C,0.02226,0.00633,0.00599,0.00495
YLR213C,0.00375,0.00135,0.00148,0.00142
YLR214W,0.01248,0.00647,0.00643,0.00467
YLR215C,0.01126,0.00406,0.00332,0.00518
YLR216C,0.23181,0.07649,0.06924,0.11426
YLR217W,0.00122,0.00071,0.00087,0.00038
YLR218C,0.03593,0.00835,0.00732,0.01398
YLR219W,0.07471,0.03259,0.02002,0.04000
YLR220W,0.04757,0.01446,0.01105,0.01732
YLR221C,0.01587,0.00335,0.00396,0.00634
YLR222C,0.02252,0.00888,0.00792,0.00634
YLR223C,0.01053,0.00282,0.00273,0.00343
YLR224W,0.03864,0.00722,0.00464,0.00998
YLR225C,0.01072,0.00411,0.00369,0.00417
YLR226W,0.00917,0.00236,0.00226,0.00313
YLR227C,0.01206,0.00575,0.00540,0.00314
YLR228C,0.03711,0.01518,0.01440,0.01724
YLR229C,0.22154,0.07892,0.08127,0.09568
YLR230W,0.00310,0.00113,0.00203,0.00192
YLR231C,0.04151,0.01608,0.01378,0.01534
YLR189C,0.02896,0.01215,0.00913,0.01131
YLR190W,0.05859,0.01973,0.01702,0.01991
YLR191W,0.02402,0.00806,0.00757,0.00820
YLR192C,0.10666,0.03733,0.02772,0.04100
YLR193C,0.02050,0.00926,0.00734,0.00689
YLR194C,0.12355,0.02593,0.02117,0.07427
YLR195C,0.03669,0.01389,0.01337,0.01635
YLR196W,0.04898,0.01041,0.01195,0.02029
YLR197W,0.05527,0.01115,0.01272,0.02271
YLR198C,0.02698,0.00916,0.01022,0.01140
YLR199C,0.05803,0.02253,0.01687,0.02186
YLR200W,0.01529,0.00500,0.00650,0.00481
YLR201C,0.03410,0.01306,0.00980,0.01565
YLR202C,0.06783,0.04258,0.03197,0.02676
YLR203C,0.05893,0.01338,0.00748,0.01888
YLR204W,0.09980,0.04451,0.03788,0.04309
YLR205C,0.12888,0.06372,0.08030,0.05974
YLR206W,0.10540,0.03640,0.02569,0.04053
YLR207W,0.01164,0.00499,0.00398,0.00394
YLR208W,0.17378,0.04913,0.04622,0.09812
YLR167W,0.86873,0.39774,0.39030,0.59931
YLR168C,0.07019,0.02716,0.04128,0.02665
YLR169W,0.00504,0.00383,0.00351,0.00248
YLR170C,0.02223,0.00578,0.00589,0.00888
YLR171W,0.00306,0.00121,0.00203,0.00138
YLR172C,0.06936,0.02575,0.01718,0.02206
YLR173W,0.00468,0.00116,0.00070,0.00149
YLR174W,0.18023,0.11012,0.10267,0.08543
YLR175W,0.17352,0.05519,0.05155,0.07980
YLR176C,0.00780,0.00301,0.00301,0.00179
YLR177W,0.02036,0.00550,0.00475,0.00904
YLR178C,0.24605,0.06480,0.03128,0.13432
YLR179C,0.07530,0.03648,0.04411,0.02098
YLR180W,0.51028,0.16384,0.17716,0.30487
YLR181C,0.02981,0.00756,0.00642,0.00974
YLR182W,0.02489,0.00777,0.00782,0.00749
YLR183C,0.02165,0.00348,0.00398,0.00520
YLR184W,0.00154,0.00071,0.00035,0.00035
YLR185W,0.52958,0.28370,0.26128,0.36784
YLR186W,0.06244,0.01553,0.01724,0.02485
YLR187W,0.01234,0.00597,0.00419,0.00575
YLR188W,0.04387,0.01649,0.01336,0.01863
YLR140W,0.01460,0.00535,0.00405,0.01025
YLR141W,0.01239,0.00305,0.00200,0.00385
YLR142W,0.03956,0.01317,0.00864,0.01851
YLR143W,0.00270,0.00142,0.00107,0.00115
YLR144C,0.02288,0.00872,0.00729,0.00683
YLR145W,0.01212,0.00382,0.00435,0.00427
YLR146C,0.00744,0.00230,0.00281,0.00257
YLR147C,0.04215,0.01502,0.01554,0.01884
YLR148W,0.00213,0.00077,0.00078,0.00062
YLR149C,0.03672,0.01318,0.00802,0.01525
YLR150W,0.41884,0.10669,0.08461,0.19876
YLR151C,0.02147,0.00507,0.00614,0.00804
YLR152C,0.04416,0.02621,0.01594,0.02042
YLR153C,0.21388,0.10962,0.09325,0.11060
YLR154C,0.09639,0.04601,0.03975,0.04098
YLR155C,0.36942,0.10748,0.09439,0.14615
YLR156W,0.00959,0.00172,0.00156,0.00232
YLR162W,0.00583,0.00375,0.00315,0.00388
YLR163C,0.04487,0.02222,0.02007,0.02029
YLR164W,0.05339,0.01250,0.00686,0.03319
YLR165C,0.00951,0.00421,0.00334,0.00394
YLR166C,0.01882,0.00891,0.00779,0.00618
YLR119W,0.01160,0.00317,0.00288,0.00410
YLR120C,0.09021,0.02070,0.01583,0.03988
YLR121C,0.02196,0.00556,0.00416,0.00842
YLR122C,0.00473,0.00227,0.00220,0.00183
YLR123C,0.00292,0.00139,0.00115,0.00135
YLR124W,0.00141,0.00020,0.00050,0.00055
YLR125W,0.00171,0.00096,0.00080,0.00100
YLR126C,0.01145,0.00410,0.00393,0.00332
YLR127C,0.00242,0.00128,0.00102,0.00085
YLR128W,0.01439,0.00308,0.00221,0.00427
YLR129W,0.01688,0.00499,0.00604,0.00468
YLR130C,0.05771,0.02382,0.01568,0.01704
YLR131C,0.01574,0.00788,0.00514,0.00496
YLR132C,0.02060,0.00699,0.00546,0.00855
YLR133W,0.03183,0.01199,0.00709,0.00791
YLR134W,0.02565,0.00913,0.00690,0.01112
YLR135W,0.00653,0.00292,0.00217,0.00184
YLR136C,0.00435,0.00130,0.00340,0.00286
YLR137W,0.01750,0.00625,0.00608,0.00685
YLR138W,0.02757,0.00939,0.00703,0.01376
YLR139C,0.00437,0.00255,0.00136,0.00151
YLR096W,0.03281,0.01276,0.01203,0.01170
YLR097C,0.02067,0.00549,0.00457,0.00679
YLR098C,0.00716,0.00332,0.00322,0.00205
YLR099C,0.09983,0.04188,0.02538,0.04171
YLR100W,0.16486,0.05575,0.05955,0.08764
YLR101C,0.00618,0.00398,0.00355,0.00388
YLR102C,0.01183,0.00414,0.00381,0.00351
YLR103C,0.02323,0.00937,0.00711,0.00746
YLR104W,0.06965,0.02987,0.02926,0.03175
YLR105C,0.04076,0.01297,0.01030,0.01693
YLR106C,0.01309,0.00502,0.00540,0.00611
YLR107W,0.01776,0.00573,0.00544,0.00696
YLR108C,0.01022,0.00113,0.00067,0.00297
YLR109W,0.31196,0.08088,0.04710,0.17244
YLR110C,0.85678,1.00000,1.00000,1.00000
YLR111W,0.00166,0.00021,0.00059,0.00075
YLR112W,0.01670,0.00385,0.00370,0.00515
YLR113W,0.11409,0.02571,0.02299,0.03609
YLR114C,0.00454,0.00122,0.00175,0.00155
YLR115W,0.01117,0.00393,0.00310,0.00397
YLR116W,0.01117,0.00342,0.00214,0.00331
YLR117C,0.00669,0.00187,0.00205,0.00245
YLR118C,0.02061,0.00717,0.00584,0.00789
YLR074C,0.04200,0.01003,0.00776,0.01262
YLR075W,0.66688,0.35700,0.30784,0.51675
YLR076C,0.00965,0.00882,0.01268,0.00477
YLR077W,0.05373,0.01741,0.01534,0.02182
YLR078C,0.04113,0.01320,0.01387,0.01503
YLR079W,0.05637,0.01851,0.01272,0.02270
YLR080W,0.01202,0.00537,0.00443,0.00535
YLR081W,0.00383,0.00122,0.00093,0.00169
YLR082C,0.00666,0.00247,0.00209,0.00265
YLR083C,0.05242,0.01805,0.01785,0.02055
YLR084C,0.01768,0.00919,0.00832,0.00441
YLR085C,0.03585,0.01449,0.01169,0.01642
YLR086W,0.00317,0.00090,0.00094,0.00099
YLR087C,0.00602,0.00259,0.00303,0.00170
YLR088W,0.03908,0.01294,0.01096,0.01428
YLR089C,0.21694,0.06013,0.04589,0.10595
YLR090W,0.04923,0.02068,0.01492,0.02971
YLR091W,0.00582,0.00202,0.00173,0.00208
YLR092W,0.09182,0.02146,0.02315,0.03391
YLR093C,0.05865,0.01396,0.01235,0.02689
YLR094C,0.01811,0.00489,0.00327,0.00409
YLR095C,0.05766,0.03175,0.02814,0.02536
YLR051C,0.02759,0.00733,0.00701,0.00954
YLR052W,0.01158,0.00525,0.00373,0.00331
YLR053C,0.02202,0.01501,0.01715,0.00735
YLR054C,0.00731,0.00205,0.00178,0.00285
YLR055C,0.01624,0.00614,0.00473,0.00466
YLR056W,0.56033,0.21012,0.15761,0.51314
YLR057W,0.01697,0.00590,0.00451,0.00581
YLR058C,0.15520,0.07129,0.05609,0.06400
YLR059C,0.08104,0.02340,0.02131,0.03038
YLR060W,0.45853,0.15736,0.13844,0.23107
YLR061W,0.69831,0.26614,0.25052,0.37439
YLR062C,0.00677,0.00288,0.00467,0.00333
YLR063W,0.00346,0.00106,0.00155,0.00162
YLR064W,0.06498,0.01369,0.01732,0.02651
YLR065C,0.15752,0.04182,0.04775,0.07101
YLR066W,0.05879,0.02720,0.02622,0.01915
YLR067C,0.00480,0.00159,0.00133,0.00103
YLR068W,0.01419,0.00425,0.00509,0.00611
YLR069C,0.06144,0.01908,0.01983,0.02260
YLR070C,0.05206,0.02188,0.01619,0.02196
YLR071C,0.02718,0.01224,0.00794,0.00847
YLR072W,0.03781,0.01108,0.00837,0.01592
YLR073C,0.01032,0.00357,0.00359,0.00346
YLR031W,0.00542,0.00185,0.00164,0.00207
YLR032W,0.00659,0.00250,0.00277,0.00275
YLR033W,0.01080,0.00295,0.00316,0.00358
YLR034C,0.03311,0.01284,0.01694,0.01273
YLR035C,0.00498,0.00127,0.00113,0.00134
YLR036C,0.00848,0.00344,0.00330,0.00182
YLR037C,0.05178,0.01686,0.01268,0.01698
YLR038C,0.67556,0.32325,0.30743,0.35365
YLR039C,0.00691,0.00314,0.00303,0.00238
YLR040C,0.00452,0.00166,0.00136,0.00128
YLR041W,0.00144,0.00053,0.00072,0.00073
YLR042C,0.00832,0.00302,0.00226,0.00262
YLR043C,0.45128,0.22105,0.21663,0.28392
YLR044C,0.52432,0.14492,0.11229,0.25797
YLR045C,0.02558,0.00901,0.00695,0.00916
YLR046C,0.00242,0.00121,0.00150,0.00120
YLR047C,0.00091,0.00027,0.00013,0.00054
YLR048W,0.52245,0.17517,0.18403,0.35703
YLR049C,0.01283,0.00357,0.00361,0.00374
YLR050C,0.17310,0.06168,0.05085,0.08905
YLR009W,0.04510,0.01076,0.01146,0.01952
YLR010C,0.00681,0.00248,0.00178,0.00229
YLR011W,0.01507,0.00463,0.00393,0.00423
YLR012C,0.00025,0.00196,0.00274,0.00006
YLR013W,0.00031,0.00022,0.00017,0.00014
YLR014C,0.01060,0.00391,0.00333,0.00455
YLR015W,0.00818,0.00274,0.00274,0.00245
YLR016C,0.01352,0.00452,0.00491,0.00666
YLR017W,0.02610,0.00889,0.00685,0.00994
YLR018C,0.01089,0.00517,0.00481,0.00415
YLR019W,0.02133,0.00541,0.00568,0.00965
YLR020C,0.00569,0.00189,0.00233,0.00215
YLR021W,0.03320,0.01050,0.00883,0.00815
YLR022C,0.01095,0.00487,0.00464,0.00507
YLR023C,0.03774,0.01325,0.01159,0.01212
YLR024C,0.00754,0.00454,0.00273,0.00352
YLR025W,0.05755,0.01803,0.01477,0.02454
YLR026C,0.01482,0.00424,0.00277,0.00313
YLR027C,0.20462,0.12596,0.11511,0.10148
YLR028C,0.12919,0.04574,0.03734,0.06210
YLR029C,0.36569,0.13183,0.10965,0.21267
YLR030W,0.00392,0.00123,0.00079,0.00190
YLL015W,0.02174,0.01144,0.00666,0.01045
YLL014W,0.11669,0.04820,0.04455,0.06020
YLL013C,0.00128,0.00051,0.00034,0.00035
YLL012W,0.03352,0.01303,0.00727,0.01547
YLL011W,0.03224,0.00991,0.00990,0.01148
YLL010C,0.00313,0.00165,0.00189,0.00170
YLL009C,0.07259,0.03335,0.03337,0.02511
YLL008W,0.01432,0.00459,0.00473,0.00410
YLL007C,0.00295,0.00120,0.00084,0.00115
YLL006W,0.00722,0.00263,0.00171,0.00327
YLL005C,0.00027,0.00021,0.00035,0.00004
YLL004W,0.00870,0.00346,0.00300,0.00282
YLL003W,0.03121,0.01385,0.01074,0.01139
YLL002W,0.01944,0.00621,0.00659,0.00682
YLL001W,0.02545,0.01049,0.00834,0.00616
YLR001C,0.06040,0.02920,0.02627,0.02379
YLR002C,0.01657,0.00467,0.00493,0.00500
YLR003C,0.01468,0.00666,0.00685,0.00542
YLR004C,0.01053,0.00703,0.00645,0.00420
YLR005W,0.08698,0.03082,0.03204,0.03958
YLR006C,0.01478,0.00574,0.00461,0.00551
YLR007W,0.03173,0.01267,0.01312,0.00800
YLR008C,0.05765,0.01391,0.01215,0.01656
YLL035W,0.01193,0.00297,0.00313,0.00347
YLL034C,0.03638,0.00749,0.00971,0.01191
YLL033W,0.00362,0.00156,0.00152,0.00134
YLL032C,0.00469,0.00249,0.00228,0.00207
YLL031C,0.04992,0.02027,0.01909,0.01647
YLL030C,0.00050,0.00008,0.00014,0.00017
YLL029W,0.05553,0.02429,0.01869,0.01931
YLL028W,0.05306,0.01671,0.01523,0.01784
YLL027W,0.09362,0.04491,0.04717,0.03970
YLL026W,0.21807,0.04765,0.03638,0.09307
YLL025W,0.02350,0.00474,0.00342,0.00599
YLL024C,0.63443,0.19917,0.18424,0.28697
YLL023C,0.09021,0.04621,0.02983,0.04740
YLL022C,0.05046,0.00987,0.00761,0.01194
YLL021W,0.01247,0.00360,0.00348,0.00394
YLL020C,0.14356,0.07670,0.06012,0.07986
YLL019C,0.03107,0.01406,0.01142,0.01324
YLL018C,0.21544,0.10377,0.06595,0.11409
YLL017W,0.00056,0.00057,0.00012,0.00019
YLL016W,0.00291,0.00081,0.00049,0.00084
YLL057C,0.00172,0.00082,0.00098,0.00087
YLL056C,0.01224,0.00529,0.00383,0.00572
YLL055W,0.04693,0.01629,0.01671,0.03658
YLL054C,0.00712,0.00185,0.00154,0.00290
YLL053C,0.33635,0.17182,0.16646,0.14144
YLL052C,0.11279,0.04207,0.04227,0.05028
YLL051C,0.00862,0.00400,0.00422,0.00517
YLL050C,0.52610,0.17614,0.17153,0.29592
YLL049W,0.01351,0.00595,0.00480,0.00575
YLL048C,0.07603,0.02870,0.02418,0.03518
YLL047W,0.00128,0.00076,0.00059,0.00067
YLL046C,0.00233,0.00069,0.00082,0.00082
YLL045C,0.31215,0.09356,0.08213,0.15113
YLL044W,0.00868,0.00394,0.00508,0.00322
YLL043W,0.08413,0.02463,0.01691,0.02807
YLL042C,0.02969,0.01367,0.01524,0.01458
YLL041C,0.58511,0.32621,0.27161,0.28828
YLL040C,0.06769,0.02549,0.01655,0.02025
YLL039C,0.18682,0.08563,0.05540,0.10956
YLL038C,0.00323,0.00119,0.00106,0.00207
YLL037W,0.00324,0.00166,0.00146,0.00148
YLL036C,0.03579,0.01876,0.01463,0.01326
SNR64,0.00011,0.00018,0.00009,0.00028
SNR38,0.00066,0.00059,0.00017,0.00036
SNR69,0.00453,0.00192,0.00179,0.00286
SNR42,0.00242,0.00131,0.00118,0.00090
YLL065W,0.00639,0.00485,0.00413,0.00158
YLL064C,0.02269,0.00558,0.00482,0.00706
YLL063C,0.00030,0.00027,0.00013,0.00059
YLL062C,0.02702,0.00916,0.00884,0.00730
YLL061W,0.08752,0.02807,0.03029,0.03231
YLL060C,0.02647,0.00588,0.00490,0.01005
YLL059C,0.00287,0.00070,0.00080,0.00099
YLL058W,0.00673,0.00220,0.00255,0.00321
YKL200C,0.00118,0.00020,0.00024,0.00135
YKL162C-A,0.00807,0.00192,0.00181,0.00326
YKR035C,0.01347,0.00570,0.00509,0.00637
YKL201C,0.02872,0.01213,0.01030,0.01332
YKL199C,0.00392,0.00279,0.00137,0.00323
YKL198C,0.00255,0.00171,0.00076,0.00321
YKL033W-A,0.06913,0.02209,0.01931,0.03164
YKR085C,0.08703,0.02627,0.02647,0.03154
YKR086W,0.01507,0.00493,0.00433,0.00320
YKR087C,0.02326,0.00735,0.00670,0.00856
YKR088C,0.03509,0.01585,0.01422,0.01329
YKR089C,0.01872,0.01115,0.00694,0.00859
YKR090W,0.01079,0.00403,0.00356,0.00277
YKR091W,0.02419,0.00606,0.00425,0.00762
YKR092C,0.09197,0.01741,0.01431,0.03480
YKR093W,0.00715,0.00280,0.00283,0.00385
YKR094C,0.24078,0.12369,0.11450,0.17056
YKR095W,0.03511,0.01267,0.00881,0.01352
YKR096W,0.01775,0.00742,0.00478,0.00683
YKR097W,0.05451,0.36856,0.31837,0.02156
YKR098C,0.01795,0.00580,0.00610,0.00455
YKR099W,0.01481,0.00288,0.00226,0.00264
YKR100C,0.05790,0.01292,0.01147,0.02173
YKR101W,0.00943,0.00444,0.00413,0.00345
YKR102W,0.00697,0.00436,0.00300,0.00300
YKR103W,0.00162,0.00039,0.00049,0.00070
YKR104W,0.00574,0.00293,0.00215,0.00233
YKR105C,0.00069,0.00057,0.00026,0.00036
YKR062W,0.00850,0.00300,0.00329,0.00243
YKR063C,0.01554,0.00682,0.00634,0.00429
YKR064W,0.00929,0.00323,0.00305,0.00210
YKR065C,0.07853,0.02559,0.02206,0.02978
YKR066C,0.09749,0.01866,0.01589,0.02627
YKR067W,0.14646,0.05477,0.04193,0.05044
YKR068C,0.12573,0.03679,0.03679,0.05613
YKR069W,0.14775,0.04640,0.04589,0.06566
YKR070W,0.02001,0.00501,0.00687,0.00673
YKR071C,0.05993,0.01363,0.01420,0.01897
YKR072C,0.03386,0.00836,0.00657,0.00943
YKR073C,0.00245,0.00125,0.00066,0.00123
YKR074W,0.10290,0.03161,0.03130,0.04925
YKR075C,0.05034,0.00719,0.00583,0.01039
YKR076W,0.05739,0.01415,0.00972,0.02080
YKR077W,0.02016,0.00821,0.00741,0.00835
YKR078W,0.01078,0.00368,0.00392,0.00362
YKR079C,0.00487,0.00132,0.00161,0.00162
YKR080W,0.07375,0.03436,0.03715,0.03936
YKR081C,0.08850,0.02048,0.01944,0.03987
YKR082W,0.02710,0.01085,0.00941,0.00752
YKR083C,0.00883,0.00234,0.00283,0.00364
YKR084C,0.01029,0.00335,0.00230,0.00463
YKR038C,0.04193,0.01117,0.01335,0.01254
YKR039W,0.14064,0.06669,0.04068,0.06901
YKR040C,0.00399,0.00271,0.00187,0.00212
YKR041W,0.00056,0.00034,0.00021,0.00048
YKR042W,0.43664,0.32102,0.24460,0.22009
YKR043C,0.11798,0.02566,0.02157,0.04480
YKR044W,0.00992,0.00334,0.00269,0.00362
YKR045C,0.00578,0.00217,0.00107,0.00205
YKR046C,0.41034,0.15496,0.12044,0.23917
YKR047W,0.00839,0.00644,0.00694,0.00561
YKR048C,0.18649,0.04686,0.03568,0.06869
YKR049C,0.28688,0.09815,0.06985,0.14707
YKR050W,0.01194,0.00749,0.00529,0.00427
YKR051W,0.01703,0.00591,0.00413,0.00679
YKR052C,0.01909,0.00386,0.00420,0.00823
YKR053C,0.01171,0.00481,0.00375,0.00729
YKR054C,0.02850,0.01238,0.00967,0.00874
YKR055W,0.02144,0.00624,0.00545,0.00745
YKR056W,0.03173,0.01031,0.00890,0.01301
YKR057W,0.94628,0.53929,0.55840,0.77183
YKR058W,0.02677,0.01066,0.00688,0.00983
YKR060W,0.01464,0.00515,0.00681,0.00522
YKR061W,0.02480,0.00983,0.00931,0.01202
YKR016W,0.03378,0.01401,0.01522,0.01416
YKR017C,0.00578,0.00210,0.00193,0.00247
YKR018C,0.06051,0.01639,0.01079,0.02466
YKR019C,0.00820,0.00370,0.00309,0.00304
YKR020W,0.00398,0.00165,0.00136,0.00143
YKR021W,0.03345,0.01183,0.00835,0.01082
YKR022C,0.01233,0.00384,0.00415,0.00405
YKR023W,0.00619,0.00248,0.00165,0.00150
YKR024C,0.01398,0.00479,0.00436,0.00371
YKR025W,0.01624,0.00660,0.00490,0.00555
YKR026C,0.03065,0.00785,0.00726,0.01102
YKR027W,0.02699,0.01145,0.01025,0.00852
YKR028W,0.03187,0.01418,0.00995,0.01484
YKR029C,0.03267,0.01217,0.01276,0.01266
YKR030W,0.02693,0.01035,0.00938,0.00869
YKR031C,0.02351,0.01056,0.00886,0.00905
YKR032W,0.00020,0.00009,0.00009,0.00014
YKR033C,0.00243,0.00114,0.00104,0.00070
YKR034W,0.00339,0.00138,0.00121,0.00068
YKR035W-A,0.03587,0.00927,0.01027,0.01400
YKR036C,0.01983,0.00791,0.00827,0.00722
YKR037C,0.02251,0.00558,0.00532,0.00661
YKL006C-A,0.09066,0.02450,0.02958,0.03448
YKL006W,0.61101,0.18766,0.19916,0.33607
YKL005C,0.01065,0.00263,0.00306,0.00479
YKL004W,0.06072,0.02511,0.02504,0.02653
YKL003C,0.15366,0.05656,0.05982,0.06783
YKL002W,0.11414,0.02781,0.03077,0.04513
YKL001C,0.35376,0.09919,0.11785,0.16475
YKR001C,0.03486,0.01119,0.00963,0.01190
YKR002W,0.04921,0.02659,0.02038,0.01588
YKR003W,0.02051,0.00733,0.00657,0.00804
YKR004C,0.01255,0.00496,0.00506,0.00351
YKR005C,0.01255,0.00506,0.00519,0.00434
YKR006C,0.06970,0.02395,0.02386,0.02608
YKR007W,0.06272,0.02022,0.01393,0.02171
YKR008W,0.00648,0.00227,0.00212,0.00203
YKR009C,0.24103,0.12480,0.10332,0.12261
YKR010C,0.01803,0.00623,0.00601,0.00620
YKR011C,0.02060,0.00786,0.00698,0.00970
YKR012C,0.00842,0.00668,0.00454,0.00630
YKR013W,0.10996,0.03817,0.03558,0.04789
YKR014C,0.08997,0.02469,0.02700,0.06321
YKR015C,0.00047,0.00020,0.00053,0.00015
YKL028W,0.03827,0.01241,0.01118,0.01444
YKL027W,0.02410,0.00622,0.00679,0.00730
YKL026C,0.20569,0.05690,0.03025,0.09917
YKL025C,0.02934,0.01027,0.00642,0.00682
YKL024C,0.10918,0.03466,0.02237,0.03727
YKL023W,0.01533,0.00484,0.00208,0.00577
YKL022C,0.01966,0.00703,0.00437,0.00549
YKL021C,0.01307,0.00410,0.00407,0.00457
YKL020C,0.02041,0.00983,0.00851,0.00964
YKL019W,0.05019,0.01630,0.01517,0.02149
YKL018W,0.02500,0.00771,0.01040,0.00809
YKL017C,0.02999,0.00970,0.00831,0.00959
YKL016C,0.22589,0.09089,0.08747,0.11126
YKL015W,0.02441,0.01067,0.00978,0.01052
YKL014C,0.01995,0.00659,0.00623,0.00600
YKL013C,0.09323,0.02641,0.02501,0.03204
YKL012W,0.01826,0.00763,0.00750,0.00733
YKL011C,0.00745,0.00255,0.00240,0.00254
YKL010C,0.04011,0.02204,0.01752,0.01437
YKL009W,0.10879,0.02971,0.03198,0.04833
YKL008C,0.01256,0.00413,0.00451,0.00387
YKL007W,0.07166,0.02062,0.01854,0.03143
YKL051W,0.02196,0.00285,0.00203,0.00752
YKL050C,0.00491,0.00160,0.00136,0.00385
YKL049C,0.04353,0.01976,0.01319,0.01777
YKL048C,0.00855,0.00268,0.00274,0.00312
YKL047W,0.01272,0.00457,0.00557,0.00510
YKL046C,0.06942,0.02023,0.01887,0.03266
