,MA_020,MA_023,MA_027,MA_030,MA_032,MA_034
YKL040C,0.00018,0.00002,0.00025,0.00011,0.00012,0.00015
YKL041W,0.00278,0.00127,0.00424,0.00328,0.00353,0.00363
YKL042W,0.00002,0.00001,0.00001,0.00000,0.00001,0.00000
YKL043W,0.00002,0.00002,0.00003,0.00002,0.00003,0.00002
YKL044W,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001
YKL045W,0.00114,0.00155,0.00123,0.00192,0.00180,0.00176
YKL046C,0.00001,0.00001,0.00002,0.00002,0.00001,0.00001
YKL047W,0.00010,0.00007,0.00011,0.00009,0.00012,0.00013
YKL048C,0.00008,0.00009,0.00011,0.00009,0.00009,0.00012
YKL049C,0.00001,0.00001,0.00002,0.00001,0.00002,0.00000
YKL050C,0.00005,0.00008,0.00005,0.00009,0.00006,0.00008
YKL051W,0.00105,0.00061,0.00074,0.00103,0.00109,0.00117
YKL052C,0.00029,0.00022,0.00027,0.00042,0.00042,0.00044
YKL053C-A,0.00048,0.00061,0.00051,0.00062,0.00052,0.00052
YKL053W,0.00413,0.00173,0.00386,0.00300,0.00340,0.00336
YKL054C,0.00179,0.00047,0.00140,0.00098,0.00085,0.00086
YKL055C,0.00012,0.00009,0.00013,0.00012,0.00014,0.00009
YKL056C,0.00004,0.00006,0.00009,0.00011,0.00011,0.00008
YKL057C,0.00020,0.00012,0.00045,0.00052,0.00064,0.00074
YKL058W,0.00013,0.00012,0.00013,0.00015,0.00016,0.00017
YKL059C,0.00003,0.00003,0.00001,0.00002,0.00002,0.00001
YKL060C,0.00045,0.00023,0.00038,0.00036,0.00037,0.00026
YKL061W,0.00006,0.00004,0.00007,0.00008,0.00007,0.00009
YKL062W,0.00001,0.00001,0.00002,0.00001,0.00003,0.00002
YKL063C,0.00013,0.00011,0.00018,0.00022,0.00019,0.00027
YKL064W,0.00019,0.00014,0.00021,0.00016,0.00014,0.00016
YKL065C,0.00009,0.00004,0.00010,0.00009,0.00008,0.00010
YKL065W-A,0.00018,0.00010,0.00015,0.00015,0.00018,0.00017
YKL066W,0.00056,0.00040,0.00062,0.00049,0.00051,0.00052
YKL067W,0.00010,0.00007,0.00007,0.00009,0.00007,0.00007
YKL068W-A,0.00045,0.00026,0.00036,0.00036,0.00034,0.00032
YKL068W,0.00023,0.00021,0.00017,0.00019,0.00017,0.00019
YKL069W,0.00005,0.00004,0.00004,0.00005,0.00004,0.00007
YKL070W,0.00674,0.00667,0.00690,0.00694,0.00715,0.00732
YKL071W,0.00509,0.00477,0.00583,0.00554,0.00573,0.00583
YKL072W,0.00180,0.00212,0.00254,0.00209,0.00144,0.00067
YKL073W,0.00002,0.00003,0.00003,0.00002,0.00004,0.00003
YKL074C,0.00011,0.00013,0.00012,0.00016,0.00016,0.00019
YKL075C,0.00001,0.00001,0.00002,0.00000,0.00001,0.00002
YKL076C,0.00156,0.00095,0.00256,0.00247,0.00269,0.00272
YKL077W,0.00030,0.00012,0.00024,0.00020,0.00020,0.00019
YKL078W,0.00001,0.00001,0.00002,0.00002,0.00001,0.00001
YKL079W,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001
YKL080W,0.00005,0.00002,0.00007,0.00011,0.00007,0.00009
YKL081W,0.00009,0.00008,0.00007,0.00008,0.00008,0.00010
YKL082C,0.00025,0.00017,0.00040,0.00046,0.00050,0.00058
YKL083W,0.01272,0.00141,0.01154,0.00498,0.00374,0.00609
YKL084W,0.00001,0.00001,0.00002,0.00002,0.00002,0.00001
YKL085W,0.00011,0.00007,0.00016,0.00033,0.00030,0.00028
YKL086W,0.00004,0.00003,0.00008,0.00007,0.00005,0.00006
YKL087C,0.00027,0.00007,0.00030,0.00021,0.00021,0.00024
YKL088W,0.00013,0.00004,0.00012,0.00015,0.00017,0.00012
YKL089W,0.00002,0.00001,0.00004,0.00006,0.00006,0.00003
YKL090W,0.00120,0.00138,0.00117,0.00135,0.00133,0.00126
YKL091C,0.00007,0.00005,0.00007,0.00010,0.00008,0.00006
YKL092C,0.00005,0.00007,0.00008,0.00011,0.00012,0.00013
YKL093W,0.00243,0.00285,0.00410,0.00398,0.00460,0.00466
YKL094W,0.00011,0.00008,0.00026,0.00022,0.00023,0.00022
YKL095W,0.00001,0.00001,0.00002,0.00001,0.00000,0.00002
YKL096C-B,0.00177,0.00223,0.00170,0.00214,0.00227,0.00215
YKL096W-A,0.00042,0.00019,0.00028,0.00022,0.00019,0.00018
YKL096W,0.00021,0.00021,0.00031,0.00023,0.00025,0.00030
YKL097C,0.00002,0.00001,0.00002,0.00002,0.00002,0.00002
YKL098W,0.00002,0.00001,0.00001,0.00001,0.00001,0.00002
YKL099C,0.00000,0.00000,0.00001,0.00001,0.00000,0.00000
YKL100C,0.00003,0.00000,0.00001,0.00002,0.00001,0.00001
YKL100W-A,0.00892,0.01030,0.00876,0.00809,0.00788,0.00753
YKL101W,0.00143,0.00098,0.00263,0.00262,0.00274,0.00249
YKL102C,0.00029,0.00022,0.00022,0.00011,0.00009,0.00010
YKL103C,0.00078,0.00082,0.00068,0.00024,0.00025,0.00019
YKL104C,0.00011,0.00005,0.00008,0.00013,0.00010,0.00007
YKL105C,0.00029,0.00042,0.00053,0.00083,0.00090,0.00089
YKL106C-A,0.00017,0.00006,0.00005,0.00004,0.00005,0.00004
YKL106W,0.00003,0.00003,0.00005,0.00007,0.00005,0.00005
YKL107W,0.00082,0.00075,0.00063,0.00062,0.00073,0.00066
YKL108W,0.00002,0.00001,0.00001,0.00001,0.00000,0.00001
YKL109W,0.00010,0.00008,0.00011,0.00011,0.00009,0.00011
YKL110C,0.00001,0.00004,0.00002,0.00002,0.00001,0.00001
YKL111C,0.01275,0.00538,0.01242,0.00849,0.00890,0.00951
YKL112W,0.00004,0.00002,0.00002,0.00003,0.00005,0.00004
YKL113C,0.00014,0.00010,0.00017,0.00017,0.00025,0.00023
YKL114C,0.00029,0.00023,0.00015,0.00021,0.00024,0.00028
YKL115C,0.00002,0.00002,0.00005,0.00003,0.00004,0.00005
YKL116C,0.00001,0.00001,0.00002,0.00003,0.00002,0.00001
YKL117W,0.00004,0.00001,0.00007,0.00005,0.00004,0.00004
YKL118W,0.00255,0.00140,0.00266,0.00224,0.00233,0.00201
YKL119C,0.00004,0.00002,0.00009,0.00009,0.00014,0.00010
YKL120W,0.00002,0.00003,0.00004,0.00007,0.00006,0.00006
YKL121W,0.00026,0.00037,0.00045,0.00050,0.00056,0.00055
YKL122C,0.00028,0.00010,0.00034,0.00028,0.00028,0.00027
YKL123W,0.00044,0.00004,0.00100,0.00051,0.00060,0.00052
YKL124W,0.00001,0.00001,0.00002,0.00002,0.00003,0.00002
YKL125W,0.00030,0.00032,0.00033,0.00034,0.00032,0.00030
YKL126W,0.00002,0.00001,0.00002,0.00003,0.00003,0.00003
YKL127W,0.00277,0.00242,0.00287,0.00289,0.00252,0.00232
YKL128C,0.00226,0.00200,0.00185,0.00144,0.00133,0.00117
YKL129C,0.00037,0.00033,0.00049,0.00061,0.00063,0.00065
YKL130C,0.00038,0.00039,0.00060,0.00043,0.00051,0.00037
YKL131W,0.00140,0.00092,0.00154,0.00125,0.00120,0.00149
YKL132C,0.00004,0.00006,0.00003,0.00003,0.00005,0.00003
YKL133C,0.00009,0.00016,0.00025,0.00045,0.00042,0.00044
YKL134C,0.00016,0.00022,0.00014,0.00017,0.00020,0.00022
YKL135C,0.00056,0.00011,0.00099,0.00089,0.00084,0.00086
YKL136W,0.00942,0.00535,0.01050,0.00864,0.00863,0.00906
YKL137W,0.00009,0.00005,0.00010,0.00010,0.00009,0.00009
YKL138C-A,0.00002,0.00002,0.00003,0.00002,0.00002,0.00003
YKL138C,0.00002,0.00001,0.00002,0.00003,0.00002,0.00001
YKL139W,0.00124,0.00027,0.00189,0.00118,0.00149,0.00151
YKL140W,0.00008,0.00006,0.00008,0.00013,0.00008,0.00011
YKL141W,0.00003,0.00002,0.00004,0.00005,0.00005,0.00002
YKL142W,0.00013,0.00015,0.00030,0.00043,0.00048,0.00033
YKL143W,0.00001,0.00001,0.00003,0.00000,0.00001,0.00001
YKL144C,0.00097,0.00077,0.00114,0.00111,0.00122,0.00143
YKL145W-A,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YKL145W,0.00006,0.00003,0.00006,0.00005,0.00006,0.00005
YKL146W,0.00010,0.00006,0.00010,0.00012,0.00015,0.00015
YKL147C,0.00976,0.00922,0.00949,0.01018,0.01108,0.01077
YKL148C,0.00012,0.00012,0.00009,0.00013,0.00012,0.00009
YKL149C,0.00006,0.00003,0.00004,0.00006,0.00009,0.00011
YKL150W,0.00006,0.00005,0.00010,0.00009,0.00009,0.00007
YKL151C,0.00097,0.00120,0.00134,0.00112,0.00121,0.00104
YKL152C,0.00019,0.00016,0.00017,0.00016,0.00019,0.00012
YKL153W,0.32834,0.24191,0.27200,0.30234,0.33392,0.34793
YKL154W,0.00003,0.00001,0.00004,0.00004,0.00006,0.00005
YKL155C,0.00003,0.00003,0.00007,0.00006,0.00007,0.00006
YKL156C-A,0.02729,0.02062,0.03701,0.04303,0.04807,0.04564
YKL156W,0.00002,0.00001,0.00001,0.00002,0.00004,0.00003
YKL157W,0.00012,0.00013,0.00017,0.00108,0.00174,0.00178
YKL159C,0.00154,0.00116,0.00151,0.00156,0.00164,0.00190
YKL160W,0.00058,0.00043,0.00070,0.00066,0.00063,0.00069
YKL161C,0.00007,0.00006,0.00007,0.00010,0.00012,0.00007
YKL162C-A,0.00005,0.00005,0.00005,0.00003,0.00002,0.00001
YKL162C,0.00001,0.00001,0.00001,0.00003,0.00002,0.00002
YKL165C-A,0.00001,0.00001,0.00001,0.00002,0.00002,0.00001
YKL165C,0.00018,0.00008,0.00017,0.00012,0.00015,0.00012
YKL166C,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001
YKL167C,0.00002,0.00003,0.00002,0.00002,0.00002,0.00002
YKL168C,0.00003,0.00001,0.00002,0.00002,0.00001,0.00002
YKL169C,0.02295,0.01094,0.02852,0.02831,0.02831,0.02774
YKL170W,0.00028,0.00021,0.00031,0.00020,0.00028,0.00030
YKL171W,0.00037,0.00023,0.00035,0.00064,0.00067,0.00086
YKL172W,0.00005,0.00000,0.00004,0.00002,0.00001,0.00001
YKL173W,0.00001,0.00001,0.00002,0.00002,0.00001,0.00003
YKL174C,0.00060,0.00044,0.00138,0.00121,0.00153,0.00123
YKL175W,0.00053,0.00039,0.00078,0.00080,0.00094,0.00079
YKL176C,0.00008,0.00003,0.00016,0.00016,0.00020,0.00012
YKL177W,0.00022,0.00018,0.00023,0.00023,0.00024,0.00018
YKL178C,0.00053,0.00035,0.00059,0.00046,0.00035,0.00025
YKL179C,0.00001,0.00001,0.00000,0.00001,0.00002,0.00000
YKL180W,0.00005,0.00003,0.00006,0.00007,0.00011,0.00010
YKL181W,0.00006,0.00003,0.00006,0.00005,0.00004,0.00006
YKL182W,0.00015,0.00007,0.00014,0.00018,0.00018,0.00012
YKL183C-A,0.00232,0.00144,0.00380,0.00338,0.00332,0.00360
YKL183W,0.00017,0.00017,0.00019,0.00025,0.00024,0.00017
YKL184W,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
YKL185W,0.00011,0.00010,0.00017,0.00019,0.00020,0.00015
YKL186C,0.00326,0.00290,0.00152,0.00082,0.00051,0.00042
YKL187C,0.00134,0.00103,0.00090,0.00065,0.00064,0.00057
YKL188C,0.00008,0.00005,0.00007,0.00015,0.00018,0.00022
YKL189W,0.00001,0.00000,0.00000,0.00001,0.00001,0.00000
YKL190W,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001
YKL191W,0.00001,0.00001,0.00004,0.00003,0.00002,0.00002
YKL192C,0.00027,0.00021,0.00017,0.00011,0.00010,0.00013
YKL193C,0.00000,0.00000,0.00000,0.00001,0.00002,0.00001
YKL194C,0.00004,0.00001,0.00009,0.00004,0.00006,0.00007
YKL195W,0.00028,0.00015,0.00029,0.00029,0.00033,0.00026
YKL196C,0.00002,0.00001,0.00002,0.00002,0.00001,0.00001
YKL197C,0.00010,0.00009,0.00005,0.00011,0.00013,0.00011
