,MA_020,MA_023,MA_027,MA_030,MA_032,MA_034
YAL001C,0.00035,0.00023,0.00052,0.00041,0.00050,0.00046
YAL002W,0.00017,0.00005,0.00025,0.00022,0.00020,0.00026
YAL003W,0.00009,0.00003,0.00011,0.00008,0.00009,0.00007
YAL007C,0.00025,0.00015,0.00017,0.00022,0.00021,0.00024
YAL008W,0.00002,0.00002,0.00003,0.00002,0.00002,0.00002
YAL009W,0.00002,0.00002,0.00001,0.00002,0.00002,0.00002
YAL010C,0.00029,0.00013,0.00025,0.00018,0.00020,0.00020
YAL011W,0.00105,0.00074,0.00105,0.00091,0.00079,0.00080
YAL012W,0.00022,0.00018,0.00011,0.00012,0.00012,0.00011
YAL013W,0.00024,0.00013,0.00024,0.00013,0.00018,0.00018
YAL014C,0.00002,0.00001,0.00001,0.00001,0.00001,0.00002
YAL015C,0.00003,0.00003,0.00002,0.00003,0.00002,0.00003
YAL016C-A,0.00790,0.00589,0.00563,0.00499,0.00476,0.00450
YAL016C-B,0.00117,0.00057,0.00140,0.00164,0.00175,0.00183
YAL016W,0.00025,0.00010,0.00056,0.00042,0.00052,0.00042
YAL017W,0.00004,0.00005,0.00007,0.00004,0.00005,0.00004
YAL018C,0.00013,0.00010,0.00058,0.00046,0.00025,0.00021
YAL019W-A,0.00363,0.00244,0.00307,0.00280,0.00338,0.00323
YAL019W,0.00002,0.00002,0.00005,0.00003,0.00005,0.00003
YAL020C,0.00004,0.00002,0.00003,0.00002,0.00003,0.00002
YAL022C,0.00006,0.00004,0.00006,0.00007,0.00005,0.00006
YAL023C,0.00003,0.00002,0.00002,0.00002,0.00003,0.00002
YAL024C,0.00001,0.00000,0.00002,0.00002,0.00002,0.00003
YAL025C,0.00005,0.00001,0.00006,0.00002,0.00002,0.00002
YAL026C-A,0.00302,0.00089,0.00343,0.00219,0.00189,0.00212
YAL026C,0.00005,0.00004,0.00002,0.00003,0.00003,0.00002
YAL027W,0.00006,0.00002,0.00017,0.00007,0.00015,0.00013
YAL028W,0.00016,0.00016,0.00037,0.00037,0.00039,0.00042
YAL029C,0.00126,0.00050,0.00157,0.00149,0.00164,0.00177
YAL030W,0.00017,0.00008,0.00034,0.00029,0.00030,0.00032
YAL031C,0.00016,0.00014,0.00014,0.00019,0.00013,0.00012
YAL031W-A,0.00321,0.00217,0.00374,0.00357,0.00343,0.00352
YAL032C,0.00007,0.00007,0.00015,0.00015,0.00019,0.00020
YAL033W,0.00032,0.00014,0.00077,0.00039,0.00051,0.00042
YAL034C-B,0.00477,0.00151,0.00989,0.00773,0.00923,0.00929
YAL034C,0.00007,0.00002,0.00005,0.00004,0.00003,0.00006
YAL034W-A,0.00032,0.00013,0.00031,0.00032,0.00037,0.00038
YAL035W,0.00076,0.00036,0.00074,0.00048,0.00047,0.00050
YAL036C,0.00001,0.00001,0.00000,0.00001,0.00002,0.00002
YAL037C-A,0.00090,0.00025,0.00097,0.00126,0.00128,0.00134
YAL037C-B,0.31585,0.24184,0.22830,0.23304,0.24348,0.27764
YAL037W,0.00064,0.00076,0.00056,0.00071,0.00071,0.00080
YAL038W,0.00015,0.00008,0.00012,0.00011,0.00012,0.00012
YAL039C,0.00154,0.00087,0.00106,0.00084,0.00084,0.00093
YAL040C,0.00010,0.00003,0.00004,0.00005,0.00009,0.00005
YAL041W,0.00017,0.00012,0.00021,0.00023,0.00027,0.00025
YAL042C-A,0.01461,0.01223,0.01314,0.01322,0.01495,0.01562
YAL042W,0.00010,0.00008,0.00007,0.00009,0.00011,0.00011
YAL043C,0.00004,0.00003,0.00007,0.00003,0.00006,0.00003
YAL044C,0.00074,0.00039,0.00156,0.00137,0.00152,0.00140
YAL044W-A,0.00019,0.00009,0.00035,0.00035,0.00045,0.00038
YAL045C,0.01022,0.00920,0.01167,0.01153,0.01155,0.01085
YAL046C,0.00016,0.00021,0.00022,0.00024,0.00025,0.00027
YAL047C,0.00007,0.00003,0.00004,0.00005,0.00005,0.00007
YAL047W-A,0.00126,0.00084,0.00095,0.00093,0.00089,0.00083
YAL048C,0.00004,0.00005,0.00009,0.00010,0.00011,0.00013
YAL049C,0.00008,0.00003,0.00012,0.00011,0.00012,0.00014
YAL051W,0.00007,0.00004,0.00012,0.00006,0.00008,0.00010
YAL053W,0.00005,0.00004,0.00004,0.00007,0.00006,0.00006
YAL054C,0.00017,0.00011,0.00056,0.00474,0.00567,0.00561
YAL055W,0.00227,0.00110,0.00123,0.00148,0.00130,0.00132
YAL056C-A,0.00348,0.00287,0.00476,0.00398,0.00431,0.00416
YAL056W,0.00002,0.00001,0.00002,0.00003,0.00003,0.00002
YAL058W,0.00013,0.00014,0.00014,0.00019,0.00018,0.00024
YAL059C-A,0.00588,0.00271,0.00655,0.00443,0.00511,0.00540
YAL059W,0.00002,0.00003,0.00008,0.00004,0.00004,0.00004
YAL060W,0.00008,0.00007,0.00009,0.00009,0.00008,0.00007
YAL061W,0.00180,0.00191,0.00306,0.00281,0.00312,0.00371
YAL062W,0.00371,0.00274,0.00263,0.00371,0.00407,0.00518
YAR002C-A,0.00009,0.00004,0.00011,0.00014,0.00012,0.00017
YAR002W,0.00016,0.00013,0.00019,0.00024,0.00028,0.00031
YAR003W,0.00004,0.00001,0.00001,0.00003,0.00002,0.00002
YAR007C,0.00058,0.00036,0.00092,0.00093,0.00119,0.00124
YAR008W,0.00001,0.00001,0.00002,0.00002,0.00001,0.00002
YAR014C,0.00006,0.00004,0.00007,0.00005,0.00006,0.00006
YAR015W,0.00028,0.00013,0.00044,0.00034,0.00032,0.00044
YAR018C,0.00360,0.00189,0.00718,0.00568,0.00672,0.00620
YAR019C,0.00028,0.00025,0.00058,0.00069,0.00071,0.00065
YAR019W-A,0.00034,0.00024,0.00025,0.00024,0.00026,0.00023
YAR023C,0.00030,0.00023,0.00033,0.00030,0.00029,0.00024
YAR027W,0.00003,0.00003,0.00007,0.00003,0.00006,0.00006
YAR028W,0.00017,0.00018,0.00024,0.00023,0.00025,0.00022
YAR029W,0.00018,0.00016,0.00031,0.00020,0.00023,0.00020
YAR030C,0.00023,0.00017,0.00038,0.00032,0.00035,0.00037
YAR053W,0.00069,0.00048,0.00088,0.00087,0.00085,0.00103
YAR060C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YAR064W,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YAR069C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YAR070C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YAR071W,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YBL001C,0.00011,0.00009,0.00026,0.00032,0.00048,0.00056
YBL002W,0.00005,0.00003,0.00003,0.00007,0.00009,0.00005
YBL003C,0.00001,0.00001,0.00002,0.00002,0.00002,0.00001
YBL004W,0.00007,0.00008,0.00024,0.00028,0.00033,0.00027
YBL005W,0.00234,0.00192,0.00267,0.00231,0.00204,0.00206
YBL006C,0.00026,0.00020,0.00015,0.00013,0.00015,0.00018
YBL006W-A,0.00866,0.00414,0.00719,0.00538,0.00594,0.00501
YBL007C,0.00004,0.00002,0.00005,0.00003,0.00004,0.00005
YBL008W-A,0.00002,0.00002,0.00004,0.00003,0.00003,0.00001
YBL008W,0.00002,0.00005,0.00004,0.00004,0.00002,0.00002
YBL009W,0.00039,0.00032,0.00043,0.00046,0.00046,0.00050
YBL010C,0.00001,0.00000,0.00001,0.00002,0.00001,0.00002
YBL011W,0.00019,0.00008,0.00023,0.00023,0.00021,0.00019
YBL012C,0.00538,0.00374,0.00540,0.00533,0.00555,0.00592
YBL013W,0.00034,0.00021,0.00027,0.00033,0.00031,0.00034
YBL014C,0.00008,0.00005,0.00006,0.00006,0.00004,0.00005
YBL015W,0.00013,0.00006,0.00013,0.00021,0.00014,0.00015
YBL016W,0.00017,0.00012,0.00021,0.00028,0.00024,0.00021
YBL017C,0.00001,0.00001,0.00001,0.00001,0.00003,0.00001
YBL018C,0.00027,0.00006,0.00047,0.00029,0.00033,0.00041
YBL019W,0.00052,0.00045,0.00067,0.00070,0.00074,0.00065
YBL020W,0.00004,0.00004,0.00007,0.00008,0.00008,0.00006
YBL021C,0.00092,0.00089,0.00087,0.00132,0.00135,0.00146
YBL022C,0.00007,0.00002,0.00004,0.00008,0.00006,0.00007
YBL023C,0.00010,0.00011,0.00015,0.00024,0.00029,0.00021
YBL024W,0.00002,0.00001,0.00004,0.00001,0.00002,0.00002
YBL025W,0.00007,0.00007,0.00006,0.00009,0.00007,0.00008
YBL026W,0.00001,0.00000,0.00001,0.00000,0.00001,0.00000
YBL027W,0.00094,0.00049,0.00171,0.00169,0.00186,0.00171
YBL028C,0.00001,0.00000,0.00001,0.00001,0.00000,0.00000
YBL029C-A,0.00153,0.00185,0.00246,0.00316,0.00293,0.00269
YBL029W,0.00699,0.00493,0.00717,0.00173,0.00126,0.00131
YBL030C,0.00013,0.00008,0.00017,0.00018,0.00018,0.00012
YBL031W,0.00026,0.00013,0.00064,0.00067,0.00087,0.00105
YBL032W,0.00017,0.00017,0.00024,0.00039,0.00035,0.00040
YBL033C,0.00005,0.00002,0.00002,0.00001,0.00002,0.00001
YBL034C,0.00009,0.00008,0.00015,0.00016,0.00011,0.00016
YBL035C,0.00028,0.00023,0.00025,0.00036,0.00041,0.00028
YBL036C,0.00002,0.00001,0.00001,0.00003,0.00004,0.00007
YBL037W,0.00005,0.00003,0.00011,0.00005,0.00012,0.00012
YBL038W,0.00002,0.00002,0.00005,0.00003,0.00002,0.00002
YBL039C-A,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YBL039C,0.00002,0.00001,0.00001,0.00002,0.00002,0.00002
YBL039W-B,0.00007,0.00010,0.00012,0.00013,0.00013,0.00012
YBL040C,0.00068,0.00015,0.00094,0.00066,0.00075,0.00088
YBL041W,0.00022,0.00012,0.00045,0.00046,0.00053,0.00060
YBL042C,0.00220,0.00127,0.00179,0.00370,0.00341,0.00373
YBL043W,0.00013,0.00009,0.00011,0.00009,0.00010,0.00006
YBL044W,0.00001,0.00000,0.00001,0.00001,0.00002,0.00002
YBL045C,0.00014,0.00004,0.00013,0.00014,0.00016,0.00014
YBL046W,0.00003,0.00000,0.00002,0.00001,0.00001,0.00000
YBL047C,0.00010,0.00009,0.00009,0.00009,0.00011,0.00007
YBL048W,0.00044,0.00013,0.00051,0.00040,0.00035,0.00042
YBL049W,0.00119,0.00042,0.00149,0.00102,0.00098,0.00106
YBL050W,0.00012,0.00004,0.00022,0.00016,0.00022,0.00020
YBL051C,0.00004,0.00002,0.00005,0.00005,0.00005,0.00004
YBL052C,0.00019,0.00010,0.00019,0.00010,0.00012,0.00013
YBL053W,0.00491,0.00144,0.00492,0.00301,0.00270,0.00314
YBL054W,0.00004,0.00001,0.00001,0.00002,0.00002,0.00002
YBL055C,0.00416,0.00419,0.00443,0.00444,0.00448,0.00486
YBL056W,0.00064,0.00051,0.00063,0.00048,0.00049,0.00052
YBL057C,0.00176,0.00058,0.00313,0.00219,0.00284,0.00245
YBL058W,0.00014,0.00011,0.00017,0.00016,0.00018,0.00024
YBL059C-A,0.00004,0.00001,0.00008,0.00006,0.00003,0.00003
YBL059W,0.00046,0.00042,0.00042,0.00050,0.00056,0.00057
YBL060W,0.00242,0.00073,0.00530,0.00503,0.00511,0.00494
YBL061C,0.00018,0.00009,0.00022,0.00015,0.00015,0.00021
YBL062W,0.00509,0.00220,0.00586,0.00419,0.00418,0.00478
YBL063W,0.00044,0.00023,0.00047,0.00040,0.00042,0.00044
YBL064C,0.00032,0.00039,0.00046,0.00038,0.00047,0.00039
YBL065W,0.00316,0.00169,0.00407,0.00467,0.00536,0.00475
YBL066C,0.00016,0.00012,0.00011,0.00008,0.00007,0.00009
YBL067C,0.00013,0.00008,0.00023,0.00023,0.00024,0.00019
YBL068W-A,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YBL068W,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001
YBL069W,0.00018,0.00014,0.00031,0.00031,0.00041,0.00035
YBL070C,0.00124,0.00084,0.00117,0.00104,0.00102,0.00119
YBL071C-B,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000
YBL071C,0.00707,0.00489,0.00823,0.00728,0.00775,0.00794
YBL071W-A,0.00002,0.00003,0.00005,0.00003,0.00007,0.00005
YBL072C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YBL073W,0.00130,0.00058,0.00122,0.00079,0.00082,0.00078
YBL074C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
YBL075C,0.00004,0.00001,0.00001,0.00001,0.00002,0.00001
YBL076C,0.00003,0.00002,0.00004,0.00004,0.00003,0.00003
YBL077W,0.02896,0.02003,0.03832,0.03534,0.03838,0.04134
YBL078C,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000
YBL079W,0.00005,0.00004,0.00001,0.00003,0.00003,0.00004
YBL080C,0.00019,0.00012,0.00044,0.00049,0.00059,0.00059
YBL081W,0.00017,0.00007,0.00035,0.00029,0.00034,0.00029
YBL082C,0.00000,0.00001,0.00000,0.00001,0.00001,0.00000
YBL083C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YBL084C,0.00001,0.00000,0.00001,0.00001,0.00002,0.00004
YBL085W,0.00002,0.00001,0.00002,0.00001,0.00002,0.00001
YBL086C,0.00001,0.00001,0.00003,0.00001,0.00001,0.00001
YBL087C,0.00013,0.00008,0.00006,0.00008,0.00005,0.00007
YBL088C,0.00069,0.00064,0.00092,0.00109,0.00121,0.00111
YBL089W,0.00051,0.00027,0.00078,0.00056,0.00057,0.00050
YBL090W,0.00008,0.00004,0.00010,0.00005,0.00006,0.00007
YBL091C-A,0.00152,0.00195,0.00217,0.00260,0.00311,0.00254
YBL091C,0.00013,0.00009,0.00012,0.00015,0.00015,0.00013
YBL092W,0.00006,0.00004,0.00006,0.00006,0.00010,0.00007
YBL093C,0.00004,0.00002,0.00002,0.00005,0.00007,0.00005
YBL094C,0.00626,0.00449,0.00637,0.00917,0.01024,0.00987
YBL095W,0.00040,0.00025,0.00031,0.00026,0.00025,0.00025
YBL096C,0.00334,0.00238,0.00334,0.00442,0.00511,0.00457
YBL097W,0.00002,0.00001,0.00002,0.00002,0.00002,0.00003
YBL098W,0.00004,0.00001,0.00001,0.00002,0.00001,0.00001
YBL099W,0.00014,0.00007,0.00014,0.00016,0.00015,0.00010
YBL100C,0.12048,0.13772,0.12501,0.16361,0.15299,0.13958
YBL100W-C,0.00040,0.00031,0.00047,0.00039,0.00036,0.00045
YBL101C,0.00016,0.00008,0.00034,0.00032,0.00036,0.00032
YBL102W,0.00002,0.00001,0.00003,0.00002,0.00002,0.00001
YBL103C,0.00003,0.00002,0.00002,0.00001,0.00002,0.00001
YBL105C,0.00007,0.00002,0.00001,0.00001,0.00003,0.00001
YBL106C,0.00037,0.00038,0.00056,0.00125,0.00129,0.00128
YBL107C,0.00004,0.00002,0.00007,0.00004,0.00005,0.00005
YBL107W-A,0.00035,0.00022,0.00046,0.00056,0.00062,0.00057
YBL108C-A,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YBL113W-A,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YBR001C,0.00028,0.00024,0.00038,0.00089,0.00114,0.00113
YBR002C,0.00108,0.00099,0.00077,0.00040,0.00043,0.00036
YBR003W,0.00001,0.00001,0.00002,0.00001,0.00001,0.00001
YBR004C,0.00031,0.00017,0.00069,0.00069,0.00111,0.00081
YBR005W,0.00036,0.00025,0.00035,0.00028,0.00028,0.00022
YBR006W,0.00003,0.00004,0.00004,0.00005,0.00009,0.00008
YBR007C,0.00039,0.00029,0.00019,0.00027,0.00020,0.00027
YBR008C,0.00011,0.00004,0.00005,0.00008,0.00007,0.00009
YBR009C,0.00003,0.00001,0.00004,0.00003,0.00003,0.00003
YBR010W,0.00017,0.00008,0.00013,0.00019,0.00014,0.00014
YBR011C,0.00010,0.00006,0.00012,0.00010,0.00010,0.00009
YBR012C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YBR013C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YBR014C,0.00002,0.00003,0.00002,0.00001,0.00002,0.00002
YBR015C,0.00002,0.00001,0.00001,0.00002,0.00000,0.00001
YBR016W,0.00014,0.00011,0.00014,0.00014,0.00014,0.00011
YBR017C,0.00010,0.00012,0.00016,0.00022,0.00016,0.00019
YBR018C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YBR019C,0.00318,0.00340,0.00315,0.00262,0.00264,0.00273
YBR020W,0.00064,0.00035,0.00087,0.00076,0.00096,0.00097
YBR021W,0.00025,0.00009,0.00007,0.00005,0.00004,0.00006
YBR022W,0.00039,0.00020,0.00064,0.00049,0.00057,0.00058
YBR023C,0.00019,0.00008,0.00048,0.00044,0.00056,0.00047
YBR024W,0.00003,0.00006,0.00002,0.00005,0.00006,0.00005
YBR025C,0.00038,0.00021,0.00022,0.00029,0.00030,0.00027
YBR026C,0.00001,0.00000,0.00001,0.00001,0.00000,0.00000
YBR027C,0.00002,0.00000,0.00002,0.00001,0.00001,0.00000
YBR028C,0.00002,0.00001,0.00002,0.00001,0.00001,0.00001
YBR029C,0.00013,0.00006,0.00007,0.00012,0.00012,0.00016
YBR030W,0.00002,0.00002,0.00003,0.00003,0.00006,0.00002
YBR032W,0.00025,0.00023,0.00029,0.00016,0.00015,0.00018
YBR033W,0.00197,0.00200,0.00206,0.00145,0.00138,0.00143
YBR034C,0.00037,0.00018,0.00059,0.00072,0.00073,0.00066
YBR035C,0.00008,0.00010,0.00016,0.00016,0.00014,0.00014
YBR036C,0.00004,0.00002,0.00003,0.00003,0.00004,0.00003
YBR037C,0.00001,0.00001,0.00001,0.00002,0.00001,0.00002
YBR038W,0.00013,0.00007,0.00013,0.00024,0.00019,0.00021
YBR039W,0.00005,0.00001,0.00006,0.00008,0.00005,0.00003
YBR040W,0.00000,0.00000,0.00001,0.00000,0.00001,0.00000
YBR041W,0.00003,0.00002,0.00004,0.00004,0.00002,0.00001
YBR042C,0.00031,0.00022,0.00077,0.00088,0.00108,0.00103
YBR043C,0.00004,0.00002,0.00004,0.00005,0.00006,0.00003
YBR044C,0.00055,0.00045,0.00025,0.00033,0.00032,0.00027
YBR045C,0.00007,0.00008,0.00019,0.00044,0.00043,0.00039
YBR046C,0.00002,0.00003,0.00005,0.00017,0.00012,0.00016
YBR047W,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YBR048W,0.00006,0.00003,0.00004,0.00007,0.00006,0.00005
YBR049C,0.00040,0.00050,0.00048,0.00053,0.00056,0.00048
YBR050C,0.00015,0.00014,0.00011,0.00010,0.00014,0.00015
YBR051W,0.00358,0.00128,0.00260,0.00174,0.00167,0.00196
YBR052C,0.00012,0.00012,0.00010,0.00015,0.00012,0.00020
YBR053C,0.00013,0.00010,0.00010,0.00016,0.00015,0.00020
YBR054W,0.00055,0.00022,0.00072,0.00047,0.00040,0.00042
YBR055C,0.00052,0.00021,0.00014,0.00025,0.00022,0.00022
YBR056C-B,0.00637,0.00606,0.00328,0.00293,0.00297,0.00264
YBR056W-A,0.00019,0.00014,0.00016,0.00012,0.00014,0.00007
YBR056W,0.00003,0.00002,0.00005,0.00007,0.00007,0.00008
YBR057C,0.00001,0.00002,0.00003,0.00001,0.00001,0.00002
YBR058C-A,0.00020,0.00028,0.00025,0.00018,0.00021,0.00019
YBR059C,0.00014,0.00016,0.00019,0.00019,0.00020,0.00019
YBR060C,0.00009,0.00009,0.00008,0.00015,0.00015,0.00008
YBR061C,0.00002,0.00002,0.00001,0.00003,0.00004,0.00005
YBR062C,0.00016,0.00014,0.00027,0.00019,0.00030,0.00024
YBR063C,0.00023,0.00018,0.00016,0.00019,0.00022,0.00018
YBR064W,0.00414,0.00151,0.00362,0.00265,0.00253,0.00298
YBR065C,0.00003,0.00004,0.00003,0.00002,0.00003,0.00003
YBR066C,0.00050,0.00040,0.00109,0.00112,0.00096,0.00095
YBR067C,0.00118,0.00062,0.00082,0.00112,0.00123,0.00120
YBR068C,0.00104,0.00055,0.00055,0.00063,0.00076,0.00080
YBR069C,0.00213,0.00173,0.00273,0.00033,0.00034,0.00055
YBR070C,0.00002,0.00001,0.00001,0.00001,0.00002,0.00001
YBR071W,0.00104,0.00092,0.00061,0.00059,0.00065,0.00055
YBR072C-A,0.00029,0.00006,0.00001,0.00000,0.00001,0.00000
YBR072W,0.00014,0.00003,0.00002,0.00002,0.00002,0.00001
YBR073W,0.00002,0.00002,0.00003,0.00003,0.00003,0.00005
YBR074W,0.00003,0.00003,0.00004,0.00003,0.00003,0.00001
YBR076C-A,0.00020,0.00007,0.00014,0.00011,0.00007,0.00007
YBR076W,0.00254,0.00257,0.00326,0.00342,0.00346,0.00307
YBR077C,0.00026,0.00037,0.00025,0.00031,0.00021,0.00022
YBR078W,0.00018,0.00008,0.00010,0.00015,0.00010,0.00009
YBR079C,0.00008,0.00004,0.00011,0.00012,0.00011,0.00010
YBR080C,0.00003,0.00002,0.00005,0.00005,0.00004,0.00005
YBR081C,0.00017,0.00018,0.00022,0.00035,0.00029,0.00025
YBR082C,0.00003,0.00001,0.00003,0.00002,0.00004,0.00002
YBR083W,0.00006,0.00002,0.00011,0.00008,0.00009,0.00006
YBR084C-A,0.00013,0.00004,0.00015,0.00015,0.00019,0.00017
YBR084W,0.00005,0.00002,0.00004,0.00004,0.00002,0.00002
YBR085C-A,0.00004,0.00003,0.00003,0.00004,0.00003,0.00003
YBR085W,0.00007,0.00005,0.00010,0.00008,0.00006,0.00007
YBR086C,0.00031,0.00017,0.00006,0.00014,0.00014,0.00011
YBR087W,0.00001,0.00002,0.00002,0.00005,0.00002,0.00002
YBR088C,0.00004,0.00001,0.00002,0.00006,0.00006,0.00005
YBR089C-A,0.00000,0.00000,0.00001,0.00001,0.00002,0.00001
YBR089W,0.02376,0.01825,0.02486,0.02521,0.02524,0.02324
YBR090C,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001
YBR091C,0.00025,0.00029,0.00031,0.00028,0.00026,0.00022
YBR094W,0.00002,0.00002,0.00001,0.00002,0.00001,0.00001
YBR095C,0.00006,0.00002,0.00013,0.00012,0.00013,0.00013
YBR096W,0.00013,0.00007,0.00005,0.00009,0.00007,0.00008
YBR097W,0.00011,0.00019,0.00021,0.00024,0.00023,0.00022
YBR098W,0.00370,0.00263,0.00314,0.00294,0.00296,0.00309
YBR099C,0.00271,0.00075,0.00251,0.00148,0.00132,0.00150
YBR101C,0.00042,0.00016,0.00038,0.00029,0.00027,0.00028
YBR102C,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001
YBR103C-A,0.00085,0.00026,0.00119,0.00090,0.00102,0.00116
YBR103W,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002
YBR104W,0.00004,0.00004,0.00006,0.00005,0.00004,0.00004
YBR105C,0.00003,0.00003,0.00002,0.00002,0.00002,0.00005
YBR106W,0.00010,0.00005,0.00016,0.00011,0.00014,0.00014
YBR107C,0.00477,0.00589,0.00584,0.01029,0.01129,0.01035
YBR108W,0.00031,0.00026,0.00033,0.00055,0.00077,0.00068
YBR109C,0.00003,0.00001,0.00003,0.00002,0.00002,0.00004
YBR109W-A,0.00003,0.00001,0.00004,0.00003,0.00005,0.00004
YBR110W,0.00001,0.00002,0.00002,0.00001,0.00001,0.00002
YBR111C,0.00006,0.00006,0.00005,0.00007,0.00007,0.00006
YBR111W-A,0.00001,0.00002,0.00001,0.00001,0.00001,0.00000
YBR112C,0.00144,0.00078,0.00131,0.00106,0.00089,0.00109
YBR113W,0.00607,0.00381,0.00507,0.00468,0.00452,0.00465
YBR114W,0.00085,0.00036,0.00249,0.00230,0.00329,0.00327
YBR115C,0.00008,0.00002,0.00012,0.00007,0.00007,0.00008
YBR116C,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000
YBR117C,0.00261,0.00261,0.00297,0.00350,0.00394,0.00396
YBR119W,0.00011,0.00011,0.00022,0.00024,0.00024,0.00030
YBR120C,0.00069,0.00010,0.00099,0.00046,0.00049,0.00060
YBR121C-A,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YBR121C,0.00002,0.00002,0.00006,0.00004,0.00004,0.00003
YBR122C,0.00004,0.00008,0.00007,0.00011,0.00011,0.00014
YBR123C,0.00001,0.00000,0.00001,0.00002,0.00001,0.00002
YBR124W,0.00144,0.00062,0.00129,0.00097,0.00094,0.00103
YBR125C,0.00014,0.00011,0.00013,0.00010,0.00007,0.00005
YBR126C,0.00007,0.00004,0.00008,0.00012,0.00009,0.00009
YBR126W-A,0.00003,0.00002,0.00006,0.00005,0.00007,0.00006
YBR126W-B,0.00001,0.00000,0.00002,0.00002,0.00004,0.00002
YBR127C,0.00008,0.00003,0.00006,0.00009,0.00006,0.00005
YBR128C,0.00030,0.00034,0.00053,0.00051,0.00056,0.00053
YBR129C,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001
YBR130C,0.00019,0.00028,0.00020,0.00036,0.00036,0.00034
YBR131C-A,0.00096,0.00050,0.00092,0.00067,0.00070,0.00068
YBR131W,0.00000,0.00001,0.00002,0.00001,0.00001,0.00001
YBR133C,0.00014,0.00017,0.00023,0.00024,0.00020,0.00013
YBR134W,0.00258,0.00245,0.00254,0.00302,0.00316,0.00357
YBR135W,0.00005,0.00004,0.00005,0.00006,0.00006,0.00007
YBR136W,0.00015,0.00014,0.00021,0.00028,0.00025,0.00024
YBR137W,0.00002,0.00001,0.00005,0.00002,0.00001,0.00003
YBR138C,0.00025,0.00009,0.00025,0.00027,0.00028,0.00033
YBR139W,0.00004,0.00001,0.00003,0.00006,0.00007,0.00006
YBR140C,0.00073,0.00056,0.00076,0.00087,0.00094,0.00086
YBR141C,0.00253,0.00308,0.00268,0.00342,0.00367,0.00314
YBR141W-A,0.00129,0.00055,0.00144,0.00085,0.00102,0.00096
YBR142W,0.00035,0.00014,0.00086,0.00071,0.00087,0.00089
YBR143C,0.00011,0.00006,0.00015,0.00010,0.00009,0.00011
YBR144C,0.00010,0.00005,0.00013,0.00011,0.00015,0.00012
YBR145W,0.00027,0.00018,0.00025,0.00027,0.00018,0.00023
YBR146W,0.00009,0.00007,0.00010,0.00017,0.00016,0.00015
YBR147W,0.00002,0.00001,0.00001,0.00002,0.00001,0.00002
YBR148W,0.00027,0.00027,0.00026,0.00017,0.00014,0.00013
YBR149W,0.00047,0.00050,0.00059,0.00144,0.00173,0.00176
YBR150C,0.00149,0.00068,0.00176,0.00131,0.00146,0.00143
YBR151W,0.00002,0.00003,0.00006,0.00006,0.00005,0.00008
YBR152W,0.00003,0.00002,0.00003,0.00003,0.00002,0.00003
YBR153W,0.00002,0.00003,0.00003,0.00003,0.00003,0.00004
YBR154C,0.00091,0.00033,0.00153,0.00142,0.00139,0.00137
YBR155W,0.00019,0.00005,0.00030,0.00029,0.00027,0.00033
YBR157C,0.00041,0.00044,0.00047,0.00111,0.00114,0.00121
YBR158W,0.00007,0.00004,0.00008,0.00005,0.00004,0.00004
YBR159W,0.00001,0.00000,0.00000,0.00002,0.00001,0.00000
YBR160W,0.00004,0.00004,0.00005,0.00005,0.00007,0.00005
YBR161W,0.00003,0.00001,0.00002,0.00002,0.00003,0.00002
YBR162C,0.00019,0.00008,0.00016,0.00010,0.00008,0.00010
YBR162W-A,0.00003,0.00001,0.00005,0.00003,0.00004,0.00001
YBR163W,0.00014,0.00007,0.00019,0.00014,0.00016,0.00014
YBR164C,0.00002,0.00002,0.00003,0.00003,0.00002,0.00004
YBR165W,0.00004,0.00001,0.00004,0.00002,0.00006,0.00004
YBR166C,0.00018,0.00007,0.00008,0.00013,0.00018,0.00015
YBR167C,0.00002,0.00001,0.00001,0.00001,0.00002,0.00001
